R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
921,20123,6,0,0
922,20122,6,0,0
923,20121,6,0,0
924,20120,6,0,0
925,20119,6,0,0
926,20118,6,0,0
927,20117,6,0,0
928,20116,6,0,0
929,20115,6,0,0
930,20114,6,0,0
931,20113,6,0,0
932,20112,6,0,0
933,20111,6,0,0
934,20110,6,0,0
935,20109,6,0,0
936,20301,7,0,0
937,20493,7,0,0
938,20684,4,0,0
939,20876,4,0,0
940,21067,4,0,0
941,21258,5,0,0
942,21449,5,0,0
943,21640,5,0,0
944,21831,7,0,0
945,22022,5,0,0
946,22213,5,0,0
947,22404,7,0,0
948,22595,5,0,0
949,22786,5,0,0
950,22977,7,0,0
951,23168,5,0,0
952,23359,5,0,0
953,23550,7,0,0
954,23741,5,0,0
955,23932,5,0,0
956,24123,7,0,0
957,24314,5,0,0
958,24505,5,0,0
959,24696,7,0,0
960,24887,5,0,0
961,25078,5,0,0
962,25269,8,0,0
963,25460,6,0,0
964,25651,6,0,0
965,25842,9,0,0
966,26033,6,0,0
967,26224,6,0,0
968,26415,7,0,0
969,26606,6,0,0
970,26797,4,0,0
971,26988,6,0,0
972,27180,4,0,0
973,27371,5,0,0
974,27563,4,0,0
975,27755,4,0,0
976,27946,4,0,0
977,28138,6,0,0
978,28330,6,0,0
979,28521,6,0,0
980,28713,7,0,0
981,28905,7,0,0
982,29096,5,0,0
983,29288,5,0,0
984,29480,5,0,0
985,29671,5,0,0
986,29862,7,0,0
987,30053,5,0,0
988,30244,5,0,0
989,30435,6,0,0
990,30626,5,0,0
991,30817,5,0,0
992,31008,6,0,0
993,31199,5,0,0
994,31198,5,0,0
995,31389,5,0,0
996,31580,6,0,0
997,31579,5,0,0
998,31770,5,0,0
999,31769,5,0,0
1000,31768,5,0,0
1001,31767,5,0,0
1002,31766,5,0,0
1003,31765,5,0,0
1004,31956,5,0,0
1005,31955,5,0,0
1006,31954,4,0,0
1007,31953,4,0,0
1008,31952,4,0,0
1009,31758,4,0,0
1010,31951,4,0,0
1011,31757,4,0,0
1012,31756,4,0,0
1013,31562,7,0,0
1014,31755,4,0,0
1015,31561,6,0,0
1016,31367,6,0,0
1017,31560,6,0,0
1018,31366,5,0,0
1019,31365,5,0,0
1020,31171,4,0,0
1021,31364,5,0,0
1022,31170,4,0,0
1023,31169,4,0,0
1024,30975,4,0,0
1025,31168,5,0,0
1026,30395,5,0,0
1027,30588,5,0,0
1028,30781,5,0,0
1029,30974,4,0,0
1030,29622,4,0,0
1031,29815,5,0,0
1032,30008,4,0,0
1033,30201,4,0,0
1034,30394,7,0,0
1035,29429,4,0,0
1036,29235,4,0,0
1037,29428,5,0,0
1038,29041,5,0,0
1039,29234,4,0,0
1040,28847,5,0,0
1041,29040,5,0,0
1042,28653,5,0,0
1043,28846,6,0,0
1044,28652,5,0,0
1045,28458,5,0,0
1046,28651,8,0,0
1047,28264,7,0,0
1048,28457,5,0,0
1049,28263,7,0,0
1050,28069,8,0,0
1051,28262,7,0,0
1052,28068,8,0,0
1053,28067,8,0,0
1054,28066,9,0,0
1055,27872,6,0,0
1056,28065,9,0,0
1057,27871,7,0,0
